# r/G(r)/dn[At1,At2]:      G(r)[ C, N]            dn(r)
          1.741     -1.9057204965      0.0998400000
          1.760     -1.9161530590      0.1000000000
          1.779     -1.9569812819      0.1000000000
          1.797     -1.9774732325      0.1000000000
          1.816     -1.9979651831      0.1000000000
          1.835     -2.0184571337      0.1000000000
          1.853     -2.0389490843      0.1000000000
          1.872     -2.0594410349      0.1000000000
          1.890     -2.0799329855      0.1000000000
          1.909     -2.1004249361      0.1000000000
          1.928     -2.1209168867      0.1000000000
          1.946     -2.1414088373      0.1000000000
          1.965     -2.1619007879      0.1000000000
          1.984     -2.1823927385      0.1000000000
          2.002     -2.2028846890      0.1000000000
          2.021     -2.2233766396      0.1000000000
          2.039     -2.2438685902      0.1000000000
          2.058     -2.2643605408      0.1000000000
          2.077     -2.2848524914      0.1000000000
          2.095     -2.3053444420      0.1000000000
          2.114     -2.3258363926      0.1000000000
          2.133     -2.3463283432      0.1000000000
          2.151     -2.3668202938      0.1000000000
          2.170     -2.3873122444      0.1000000000
          2.188     -2.4078041950      0.1000000000
          2.207     -2.4282961456      0.1000000000
          2.226     -2.4487880962      0.1000000000
          2.244     -2.4692800468      0.1000000000
          2.263     -2.4700005486      0.1002000000
          2.282     -2.4671218358      0.1006400000
          2.300     -2.3984872837      0.1020000000
          2.319     -2.3968875812      0.1036000000
          2.337     -2.2922769680      0.1065200000
          2.356     -2.2466141711      0.1101600000
          2.375     -1.9532873912      0.1171600000
          2.393     -1.8181391118      0.1258800000
          2.412     -1.9636454050      0.1333200000
          2.431     -1.9305198104      0.1414000000
          2.449     -2.0078172741      0.1489200000
          2.468     -2.1604035641      0.1550400000
          2.486     -2.2102430905      0.1608800000
          2.505     -2.0524647479      0.1687600000
          2.524     -1.9256835363      0.1783600000
          2.542     -1.9242516333      0.1882800000
          2.561     -1.5946877173      0.2022800000
          2.580     -1.7558289413      0.2147600000
          2.598     -1.7255302130      0.2279200000
          2.617     -1.3676776002      0.2456000000
          2.635     -1.1645694909      0.2660400000
          2.654     -0.8668244350      0.2904000000
          2.673     -0.9217132057      0.3145200000
          2.691     -0.6635859837      0.3421600000
          2.710     -0.1583334015      0.3763600000
          2.729      0.0511456548      0.4136000000
          2.747      0.2803073614      0.4541600000
          2.766      0.3249280486      0.4958000000
          2.784      0.2112067049      0.5365600000
          2.803      0.5648058998      0.5822800000
          2.822      0.7993009678      0.6315200000
          2.840      1.0115491262      0.6840400000
          2.859      1.5775790810      0.7444000000
          2.878      1.4674330336      0.8040000000
          2.896      1.6272433750      0.8663200000
          2.915      2.1193741731      0.9357200000
          2.933      2.7300643402      1.0138400000
          2.952      2.4567694440      1.0891200000
          2.971      2.8222205778      1.1700000000
          2.989      2.8954920963      1.2526400000
          3.008      2.7325848584      1.3338800000
          3.027      3.1479672926      1.4215200000
          3.045      2.9027288210      1.5066400000
          3.064      2.5317140745      1.5874800000
          3.082      2.4581388088      1.6680800000
          3.101      2.4371414427      1.7491600000
          3.120      1.9973719993      1.8248800000
          3.138      2.0872220878      1.9026000000
          3.157      1.8498028655      1.9777200000
          3.176      1.3979519205      2.0471600000
          3.194      0.9791458062      2.1113200000
          3.213      0.2613706390      2.1658400000
          3.231      0.3851475310      2.2227600000
          3.250      0.1796304350      2.2773200000
          3.269      0.0391865206      2.3304400000
          3.287      0.1260347080      2.3854400000
          3.306      0.3145298324      2.4438400000
          3.325     -0.1937451749      2.4953200000
          3.343     -0.3138331158      2.5456000000
          3.362     -0.6697141504      2.5911200000
          3.380     -0.6671887569      2.6372400000
          3.399     -0.4858994725      2.6866800000
          3.418     -0.6471811156      2.7342400000
          3.436     -0.7704798521      2.7804800000
          3.455     -0.4963978942      2.8315200000
          3.474     -0.5449146926      2.8824000000
          3.492     -0.6469427124      2.9322800000
          3.511     -0.6334098736      2.9829600000
          3.529     -0.8915180067      3.0301600000
          3.548     -0.7536939137      3.0801200000
          3.567     -0.6827537589      3.1318000000
          3.585     -0.8548593373      3.1813200000
          3.604     -0.9285634072      3.2302400000
          3.623     -1.0758253797      3.2773600000
          3.641     -0.7646891803      3.3301200000
          3.660     -0.6525305072      3.3853200000
          3.678     -0.9893222749      3.4356000000
          3.697     -1.0252188855      3.4858800000
          3.716     -1.0441032429      3.5364400000
          3.734     -1.0174749057      3.5880400000
          3.753     -1.2917432413      3.6356400000
          3.772     -0.9964579547      3.6888000000
          3.790     -0.7042761177      3.7475200000
          3.809     -0.6947282775      3.8070400000
          3.827     -1.0385026891      3.8613200000
          3.846     -1.0510919808      3.9160000000
          3.865     -0.8461087160      3.9748400000
          3.883     -0.8806318894      4.0337200000
          3.902     -0.6123044712      4.0979200000
          3.921     -0.8054862566      4.1594000000
          3.939     -0.6222174417      4.2247600000
          3.958     -0.5426083043      4.2922000000
          3.976     -0.6439642469      4.3585200000
          3.995     -0.6863300892      4.4247600000
          4.014     -0.9336030010      4.4872400000
          4.032     -1.0744804430      4.5478400000
          4.051     -1.0772955841      4.6090400000
          4.070     -0.9307509275      4.6735600000
          4.088     -1.0483877855      4.7366000000
          4.107     -1.2806253685      4.7960400000
          4.125     -1.4415409244      4.8531600000
          4.144     -1.2643407449      4.9142000000
          4.163     -1.4135076726      4.9731200000
          4.181     -1.3903218213      5.0331200000
          4.200     -1.4122657531      5.0933600000
          4.219     -1.2157149300      5.1579600000
          4.237     -1.2618242060      5.2223600000
          4.256     -1.1941679042      5.2887200000
          4.274     -1.0665695519      5.3582000000
          4.293     -1.1132591706      5.4274800000
          4.312     -0.8587938010      5.5023600000
          4.330     -0.6211587550      5.5825600000
          4.349     -0.2643365984      5.6704400000
          4.368     -0.0623451111      5.7630400000
          4.386     -0.3824736043      5.8501600000
          4.405     -0.2003207918      5.9416400000
          4.423     -0.3880495041      6.0302000000
          4.442     -0.5925059373      6.1154800000
          4.461     -0.6309302962      6.2007600000
          4.479     -1.0867260245      6.2776800000
          4.498     -1.1052202236      6.3549600000
          4.517     -1.2505296089      6.4300400000
          4.535     -1.3967868962      6.5028800000
          4.554     -1.1490107299      6.5814800000
          4.572     -1.2791677584      6.6581600000
          4.591     -1.4474166151      6.7321200000
          4.610     -1.3038786632      6.8097600000
          4.628     -1.2061289171      6.8901600000
          4.647     -1.1131782866      6.9732400000
          4.666     -1.3932170803      7.0512400000
          4.684     -1.5642133444      7.1264000000
          4.703     -1.3648809911      7.2064800000
          4.721     -1.0194527031      7.2946000000
          4.740     -0.7240953232      7.3897600000
          4.759     -0.6907088357      7.4864400000
          4.777     -0.4460829633      7.5891600000
          4.796     -0.6158621845      7.6890800000
          4.815     -0.2120373218      7.7985200000
          4.833     -0.0910499477      7.9114400000
          4.852      0.1653317382      8.0308000000
          4.870      0.3387555940      8.1548400000
          4.889      0.6058765270      8.2856400000
          4.908      0.3292844369      8.4113200000
          4.926      0.8011856124      8.5483200000
          4.945      0.6143030351      8.6821600000
          4.964      0.8054560536      8.8212000000
          4.982      0.6358129580      8.9574400000
          5.001      0.4708596138      9.0909600000
          5.019      0.8061454701      9.2329600000
          5.038      0.8084370533      9.3760000000
          5.057      0.4566393481      9.5120800000
          5.075      0.6996793125      9.6546400000
          5.094      0.5297321322      9.7943200000
          5.113      0.4868931251      9.9340000000
          5.131      0.6029125477     10.0773200000
          5.150      0.7405334421     10.2248000000
          5.168      0.5220889437     10.3682400000
          5.187      0.4413511881     10.5108000000
          5.206      0.4521492349     10.6546000000
          5.224      0.3359748676     10.7966800000
          5.243      0.4628379387     10.9427200000
          5.262      0.5971613021     11.0929200000
          5.280      0.2575702425     11.2361200000
          5.299     -0.0308039415     11.3734800000
          5.317      0.0815295462     11.5144800000
          5.336      0.4360946984     11.6649200000
          5.355      0.5440665153     11.8189600000
          5.373      0.3930212276     11.9704000000
          5.392      0.4934744562     12.1252800000
          5.411      0.6989425227     12.2861600000
          5.429      0.8583590378     12.4519600000
          5.448      1.0608944994     12.6237600000
          5.466      1.1833359927     12.7996400000
          5.485      0.9866830370     12.9718000000
          5.504      0.7749635388     13.1398400000
          5.522      1.0231070052     13.3150800000
          5.541      1.3744164560     13.5001200000
          5.560      1.1373612711     13.6804000000
          5.578      1.0846274595     13.8604800000
          5.597      0.9058006500     14.0372000000
          5.615      0.7662688074     14.2115200000
          5.634      0.5830527396     14.3823200000
          5.653      0.6256987217     14.5552800000
          5.671      0.5022581137     14.7262000000
          5.690      0.3905001124     14.8953600000
          5.709      0.1899883354     15.0604800000
          5.727      0.2515739160     15.2282400000
          5.746      0.1319725260     15.3940000000
          5.764     -0.0490819221     15.5561600000
          5.783      0.1082175681     15.7234400000
          5.802      0.0762063042     15.8909600000
          5.820      0.0827046444     16.0597200000
          5.839     -0.1040681248     16.2246800000
          5.858      0.0906034324     16.3958000000
          5.876     -0.1363862354     16.5620400000
          5.895      0.0553802960     16.7344000000
          5.913     -0.0840729952     16.9041600000
          5.932      0.0894745501     17.0796000000
          5.951      0.0377485161     17.2547600000
          5.969      0.2965226792     17.4379200000
          5.988      0.4534349983     17.6264000000
          6.007      0.3798236524     17.8140400000
          6.025      0.2634711351     17.9996800000
          6.044      0.3253791579     18.1881200000
          6.063      0.2996949732     18.3770000000
          6.081     -0.1365091462     18.5551600000
          6.100     -0.3838632257     18.7276800000
          6.118     -0.5786467644     18.8959600000
          6.137     -0.6367677914     19.0637200000
          6.156     -0.5507445990     19.2349200000
          6.174     -0.2899966859     19.4144000000
          6.193     -0.3127072604     19.5943600000
          6.212     -0.1510044840     19.7799200000
          6.230     -0.3264896055     19.9617200000
          6.249     -0.0141580451     20.1533600000
          6.267      0.0377668702     20.3476000000
          6.286      0.1746757273     20.5468400000
          6.305     -0.1591488781     20.7378400000
          6.323     -0.0043108257     20.9343600000
          6.342     -0.1228273514     21.1286800000
          6.361     -0.2914173759     21.3193600000
          6.379     -0.0537421913     21.5179600000
          6.398      0.0187835983     21.7198000000
          6.416     -0.0082490574     21.9220400000
          6.435     -0.1006015451     22.1228000000
          6.454      0.0889356737     22.3302000000
          6.472     -0.3075697247     22.5273200000
          6.491     -0.3034964499     22.7257200000
          6.510      0.0207353111     22.9347200000
          6.528      0.0592543620     23.1460400000
          6.547      0.1111061697     23.3600800000
          6.565     -0.2040926874     23.5660800000
          6.584      0.1355682597     23.7830800000
          6.603      0.0312847454     23.9966800000
          6.621      0.2036681237     24.2146800000
          6.640      0.1309012881     24.4299200000
          6.659      0.1562158066     24.6452400000
          6.677      0.4924276391     24.8695200000
          6.696      0.7203179567     25.0995600000
          6.714      0.7573467506     25.3298800000
          6.733      0.9245389327     25.5641200000
          6.752      0.4112104063     25.7832000000
          6.770      0.0618861695     25.9918400000
          6.789      0.1634627114     26.2026000000
          6.808      0.4049742107     26.4192800000
          6.826      0.2831080859     26.6318800000
          6.845     -0.0922811244     26.8335600000
          6.863     -0.0267285974     27.0363200000
          6.882      0.1220450013     27.2423600000
          6.901     -0.1268616023     27.4410400000
          6.919     -0.3529325342     27.6330400000
          6.938     -0.2908975865     27.8260000000
          6.957      0.0034843405     28.0259600000
          6.975     -0.0896542004     28.2227600000
          6.994     -0.2178649858     28.4155200000
          7.012      0.0538611649     28.6145200000
          7.031     -0.0714083724     28.8095600000
          7.050      0.2148947716     29.0110800000
          7.068      0.1293923815     29.2096400000
          7.087      0.4005614039     29.4141600000
          7.106      0.0816655739     29.6099200000
          7.124      0.0366086715     29.8037600000
          7.143     -0.3392696634     29.9876000000
          7.161     -0.5915331697     30.1645600000
          7.180     -0.1254773794     30.3520400000
          7.199     -0.1553857614     30.5380000000
          7.217      0.0449932307     30.7279200000
          7.236      0.0147492151     30.9162800000
          7.255      0.3135817851     31.1108000000
          7.273      0.4984412992     31.3087200000
          7.292      0.6741466710     31.5097600000
          7.310      0.8370128411     31.7135600000
          7.329      0.8954648614     31.9176800000
          7.348      0.3891373447     32.1093200000
          7.366      0.6862701190     32.3066800000
          7.385      1.0096895680     32.5102400000
          7.404      1.1393509036     32.7156000000
          7.422      1.0836004668     32.9186400000
          7.441      0.9391754064     33.1174400000
          7.459      0.4486850722     33.3045600000
          7.478      0.6333653628     33.4946400000
          7.497      0.1992236175     33.6744400000
          7.515     -0.1467376214     33.8459600000
          7.534     -0.0435012699     34.0187200000
          7.553     -0.2000029508     34.1872800000
          7.571     -0.1472462152     34.3560000000
          7.590      0.1120568698     34.5290800000
          7.608      0.7939752474     34.7150000000
          7.627      0.2489205978     34.8888400000
          7.646      0.6112643522     35.0688800000
          7.664      0.5150874995     35.2459200000
          7.683      0.6357711287     35.4242400000
          7.702      0.6889610684     35.6024800000
          7.720      0.4696629333     35.7753600000
          7.739      0.6653027358     35.9508800000
          7.757     -0.1334702713     36.1101200000
          7.776     -0.1242120437     36.2685200000
          7.795      0.0123175481     36.4284400000
          7.813      0.1950308169     36.5906800000
          7.832      0.3180144563     36.7540800000
          7.851      0.8674438452     36.9263200000
          7.869      1.0821335221     37.1012000000
          7.888      1.0088999015     37.2735200000
          7.906      0.9414792894     37.4434000000
          7.925      1.1802329699     37.6162000000
          7.944      1.2088122815     37.7882000000
          7.962      0.9860435026     37.9550800000
          7.981      1.0919315823     38.1224800000
          8.000      1.0001987741     38.2870400000
          8.018      0.9455401256     38.4494000000
          8.037      0.2193207179     38.5985200000
          8.055      0.2693549874     38.7472800000
          8.074      0.4399287399     38.8976000000
          8.093      0.4114409338     39.0462400000
          8.111      0.0838652164     39.1884800000
          8.130      0.6048548122     39.3376800000
          8.149      0.3974020716     39.4824000000
          8.167      0.3088281229     39.6245200000
          8.186      0.6048918867     39.7698800000
          8.204      0.2956083627     39.9093200000
          8.223      0.6559026228     40.0528400000
          8.242      0.7595621985     40.1965600000
          8.260      0.8965141282     40.3409200000
          8.279      0.9643648735     40.4848800000
          8.298      0.7596102639     40.6245600000
          8.316      0.9831678023     40.7660000000
          8.335      0.7108811081     40.9022800000
          8.353      1.1986465154     41.0438400000
          8.372      1.5919967955     41.1892400000
          8.391      1.2524418633     41.3286000000
          8.409      0.9535499946     41.4625600000
          8.428      1.0240608923     41.5960000000
          8.447      0.3215179214     41.7190000000
          8.465      0.2092300836     41.8392400000
          8.484      0.6306044114     41.9634000000
          8.502      0.9598284138     42.0902000000
          8.521      0.7841007765     42.2134000000
          8.540      0.7010370138     42.3341600000
          8.558      1.3691344983     42.4613600000
          8.577      0.7531420231     42.5798400000
          8.596      0.8178694291     42.6976000000
          8.614      0.4955367620     42.8102400000
          8.633      0.6422481110     42.9230800000
          8.651      0.7466001246     43.0356000000
          8.670      0.9956109293     43.1493200000
          8.689      0.0299257393     43.2512400000
          8.707      0.2576440253     43.3541600000
          8.726      0.6099485055     43.4592800000
          8.745      0.2478724705     43.5592400000
          8.763     -0.4628923671     43.6506800000
          8.782     -0.3273656249     43.7421200000
          8.800     -0.6475351426     43.8291200000
          8.819      0.2180117387     43.9230000000
          8.838     -0.3949802873     44.0097200000
          8.856     -0.3943010372     44.0950800000
          8.875     -0.0001213932     44.1826000000
          8.894     -0.5769703667     44.2636000000
          8.912      0.3727555475     44.3514400000
          8.931      1.0251073723     44.4432800000
          8.949      0.9957943002     44.5332400000
          8.968      1.3547695822     44.6244800000
          8.987      1.1721177933     44.7125600000
          9.005      1.7366095809     44.8033600000
          9.024      1.4407908144     44.8901200000
          9.043      1.6739048485     44.9768800000
          9.061      1.5349328984     45.0608400000
          9.080      2.2990538971     45.1484800000
          9.098      2.6068011788     45.2363600000
          9.117      2.3187387547     45.3203200000
          9.136      3.0304916259     45.4070800000
          9.154      3.2107945699     45.4929600000
          9.173      3.3318618869     45.5775200000
          9.192      3.4540938545     45.6607200000
          9.210      3.2959958031     45.7408400000
          9.229      3.8886739022     45.8222800000
          9.247      2.9553942009     45.8962400000
          9.266      2.9689693470     45.9682000000
          9.285      2.5016690334     46.0356000000
          9.303      2.5274422765     46.1011200000
