# r/G(r)/dn[At1,At2]:      G(r)[ H, C]            dn(r)
          1.760     -1.9364893313      0.4473684211
          1.779     -1.9569812819      0.4473684211
          1.797     -1.9774732325      0.4473684211
          1.816     -1.9979651831      0.4473684211
          1.835     -2.0184571337      0.4473684211
          1.853     -2.0389490843      0.4473684211
          1.872     -2.0594410349      0.4473684211
          1.890     -2.0619957066      0.4475263158
          1.909     -2.0530588460      0.4479473684
          1.928     -2.0681448761      0.4484210526
          1.946     -2.0194524502      0.4495263158
          1.965     -1.9433095522      0.4515263158
          1.984     -1.8233942578      0.4548421053
          2.002     -1.4915666726      0.4614736842
          2.021     -1.2501336246      0.4706315789
          2.039     -0.7086596488      0.4852105263
          2.058     -0.3970414613      0.5031052632
          2.077      0.0991197361      0.5261578947
          2.095      0.3487390480      0.5520526316
          2.114      0.9678853062      0.5844736842
          2.133      1.2896453147      0.6205789474
          2.151      1.6159876818      0.6604736842
          2.170      1.8321906256      0.7031052632
          2.188      1.9875505444      0.7478947368
          2.207      1.9248460909      0.7926315789
          2.226      2.0609091381      0.8393684211
          2.244      1.5648308841      0.8815263158
          2.263      1.0566015497      0.9188947368
          2.282      0.7445916722      0.9534736842
          2.300      0.2407425078      0.9831578947
          2.319     -0.1676003423      1.0088947368
          2.337     -0.7293402802      1.0289473684
          2.356     -1.0186622974      1.0462105263
          2.375     -1.2990075759      1.0607368421
          2.393     -1.5233576882      1.0731052632
          2.412     -1.6695781529      1.0841578947
          2.431     -1.5348465343      1.0970526316
          2.449     -1.5778478518      1.1097894737
          2.468     -1.6800523488      1.1216842105
          2.486     -1.4446347945      1.1366315789
          2.505     -1.2265589093      1.1544736842
          2.524     -1.2896911191      1.1719473684
          2.542     -1.1565742059      1.1913684211
          2.561     -0.9285907575      1.2138947368
          2.580     -0.9408129243      1.2366842105
          2.598     -0.7791378136      1.2618421053
          2.617     -0.5725420485      1.2899473684
          2.635     -0.4635119282      1.3198421053
          2.654     -0.3988877424      1.3510000000
          2.673      0.0620885363      1.3883684211
          2.691      0.4786021667      1.4314736842
          2.710      0.2926559392      1.4727894737
          2.729      0.4735109990      1.5169473684
          2.747      0.4500281843      1.5613684211
          2.766      0.3448508950      1.6050000000
          2.784      0.5614992581      1.6520000000
          2.803      0.5128883725      1.6989473684
          2.822      0.5367533205      1.7467894737
          2.840      0.3849365457      1.7932105263
          2.859      0.4720480406      1.8413684211
          2.878      0.3770772128      1.8888421053
          2.896      0.0488980987      1.9324736842
          2.915      0.2597919387      1.9795263158
          2.933      0.1517842262      2.0256842105
          2.952      0.2056946528      2.0731578947
          2.971      0.2396476612      2.1216842105
          2.989      0.3145153135      2.1718421053
          3.008      0.4332953664      2.2242631579
          3.027      0.4159138454      2.2770526316
          3.045      0.3019872131      2.3288421053
          3.064      0.4658900100      2.3835789474
          3.082      0.2975385649      2.4365263158
          3.101      0.5975143715      2.4944210526
          3.120      0.5820710661      2.5527368421
          3.138      0.3252560782      2.6079473684
          3.157      0.2395092559      2.6625263158
          3.176      0.0975771621      2.7156315789
          3.194      0.0384505763      2.7684736842
          3.213      0.0712438654      2.8224210526
          3.231     -0.0924580334      2.8745263158
          3.250     -0.1084497439      2.9270000000
          3.269      0.0449498748      2.9824210526
          3.287      0.1654332763      3.0403157895
          3.306      0.0415757359      3.0969473684
          3.325     -0.0369250185      3.1530000000
          3.343     -0.1756366142      3.2075263158
          3.362     -0.1382026971      3.2632631579
          3.380     -0.2518735187      3.3178421053
          3.399     -0.1982543516      3.3738947368
          3.418     -0.3008839291      3.4289473684
          3.436     -0.1460554025      3.4871052632
          3.455     -0.2483017354      3.5442631579
          3.474     -0.1283955626      3.6040000000
          3.492     -0.0909044837      3.6650000000
          3.511     -0.0089551858      3.7280000000
          3.529      0.0655078613      3.7928947368
          3.548      0.1899456799      3.8605263158
          3.567      0.2146279702      3.9292631579
          3.585      0.6739040048      4.0063684211
          3.604      0.3880453422      4.0794210526
          3.623      0.8662474426      4.1612631579
          3.641      0.8892311074      4.2442631579
          3.660      0.9333914631      4.3287894737
          3.678      0.9799699322      4.4148947368
          3.697      0.8149163208      4.4989473684
          3.716      0.8855469352      4.5850000000
          3.734      0.8584096933      4.6713684211
          3.753      0.5783455843      4.7536315789
          3.772      0.7024359334      4.8388421053
          3.790      0.6223144210      4.9234210526
          3.809      0.4804557168      5.0062631579
          3.827      0.3988420994      5.0884210526
          3.846      0.2325925243      5.1683684211
          3.865      0.2929521177      5.2501578947
          3.883      0.0469122920      5.3282631579
          3.902      0.3012769757      5.4117368421
          3.921      0.2330118250      5.4947368421
          3.939      0.3344940359      5.5803684211
          3.958     -0.1392104532      5.6580526316
          3.976      0.1360753891      5.7415789474
          3.995      0.1115284268      5.8254210526
          4.014      0.0504090614      5.9088947368
          4.032      0.0064838994      5.9923157895
          4.051      0.0353210009      6.0770526316
          4.070      0.1053689442      6.1638947368
          4.088     -0.1682479034      6.2463157895
          4.107     -0.3267246063      6.3264736842
          4.125     -0.1332516910      6.4111052632
          4.144     -0.1953650127      6.4953157895
          4.163     -0.3086976292      6.5781052632
          4.181     -0.3022597263      6.6617894737
          4.200     -0.1076716249      6.7500526316
          4.219     -0.0489521841      6.8402631579
          4.237     -0.1910000498      6.9284736842
          4.256     -0.4010383652      7.0133157895
          4.274     -0.3899425293      7.0991578947
          4.293     -0.0342117595      7.1928947368
          4.312      0.2055433524      7.2922631579
          4.330      0.0906767436      7.3901578947
          4.349      0.2209306860      7.4915263158
          4.368      0.2670835091      7.5946842105
          4.386      0.0936259147      7.6951578947
          4.405      0.3346035102      7.8014210526
          4.423      0.5554922163      7.9131052632
          4.442      0.3443230183      8.0213157895
          4.461      0.3425303303      8.1303684211
          4.479      0.7367587256      8.2485263158
          4.498      0.3711489717      8.3599473684
          4.517      0.7591673761      8.4804210526
          4.535      0.6154568265      8.5987894737
          4.554      0.7755746616      8.7214736842
          4.572      0.8773645752      8.8472631579
          4.591      0.6802608321      8.9697894737
          4.610      0.8033505629      9.0958947368
          4.628      0.8251552811      9.2234210526
          4.647      0.7858111258      9.3510526316
          4.666      0.6085245679      9.4757894737
          4.684      0.8475294603      9.6066842105
          4.703      0.5677278853      9.7324210526
          4.721      0.8932631777      9.8662631579
          4.740      0.7200812927      9.9972631579
          4.759      0.5813484409     10.1261578947
          4.777      0.6990668372     10.2586315789
          4.796      0.5211088061     10.3881052632
          4.815      0.3936709109     10.5156842105
          4.833      0.2062521175     10.6400000000
          4.852      0.0061368182     10.7607368421
          4.870      0.2344175141     10.8875789474
          4.889     -0.0293267469     11.0093684211
          4.908      0.1233437321     11.1355789474
          4.926      0.1278600343     11.2628421053
          4.945      0.1116156752     11.3906842105
          4.964     -0.2029778558     11.5122105263
          4.982     -0.0979283410     11.6371052632
          5.001     -0.1203890024     11.7624210526
          5.019     -0.1113087086     11.8888947368
          5.038     -0.1383439742     12.0156842105
          5.057     -0.1563898653     12.1430000000
          5.075     -0.1143222658     12.2722631579
          5.094     -0.0394279253     12.4042631579
          5.113      0.1033082188     12.5406315789
          5.131      0.2668877976     12.6818947368
          5.150      0.2952487314     12.8248421053
          5.168      0.1198700295     12.9645789474
          5.187     -0.0217097293     13.1018947368
          5.206     -0.1255106961     13.2376842105
          5.224     -0.1897733484     13.3728947368
          5.243     -0.0683187332     13.5120526316
          5.262     -0.0810608952     13.6518947368
          5.280     -0.1088424755     13.7920526316
          5.299      0.0170142532     13.9363157895
          5.317     -0.0069519687     14.0810000000
          5.336     -0.1897636304     14.2221578947
          5.355     -0.2616795886     14.3625263158
          5.373     -0.1628492425     14.5063684211
          5.392     -0.1570809437     14.6513684211
          5.411     -0.1097115280     14.7985789474
          5.429     -0.1377571498     14.9461052632
          5.448     -0.0620105670     15.0965789474
          5.466     -0.0303423627     15.2488947368
          5.485     -0.0381820805     15.4020526316
          5.504     -0.4239968947     15.5463684211
          5.522     -0.3447660537     15.6937368421
          5.541     -0.4885591214     15.8384210526
          5.560     -0.5136058785     15.9834736842
          5.578     -0.4920169028     16.1301052632
          5.597     -0.5999607984     16.2749473684
          5.615     -0.7536207439     16.4167894737
          5.634     -0.6897282174     16.5613157895
          5.653     -0.4884185259     16.7121578947
          5.671     -0.4679397351     16.8645789474
          5.690     -0.4079987359     17.0196315789
          5.709     -0.3525426642     17.1772105263
          5.727     -0.1791645025     17.3404736842
          5.746     -0.0188464169     17.5091052632
          5.764     -0.1342153863     17.6757368421
          5.783     -0.1004287684     17.8443684211
          5.802      0.1979724201     18.0221578947
          5.820      0.2282754847     18.2018947368
          5.839     -0.2198952145     18.3705789474
          5.858      0.2165146315     18.5522631579
          5.876      0.1402854259     18.7330000000
          5.895      0.1621998965     18.9154736842
          5.913      0.1532641933     19.0988421053
          5.932     -0.1548980108     19.2748421053
          5.951      0.1807631746     19.4612631579
          5.969      0.0578566482     19.6454210526
          5.988     -0.3381233227     19.8196842105
          6.007     -0.3253046463     19.9954210526
          6.025     -0.1607368201     20.1768947368
          6.044     -0.3620000561     20.3538421053
          6.063     -0.4465559231     20.5295263158
          6.081      0.0064598242     20.7191578947
          6.100     -0.1975518820     20.9041578947
          6.118     -0.5574782392     21.0800526316
          6.137     -0.3112246651     21.2641052632
          6.156     -0.1951231541     21.4526315789
          6.174     -0.3288231229     21.6384736842
          6.193     -0.1004505264     21.8320526316
          6.212      0.0554598766     22.0313157895
          6.230     -0.1452866794     22.2259473684
          6.249      0.0204369646     22.4265789474
          6.267     -0.2027016374     22.6218947368
          6.286     -0.0470236576     22.8229473684
          6.305      0.2331134913     23.0334210526
          6.323      0.1718399948     23.2433157895
          6.342      0.2836917740     23.4577368421
          6.361      0.1104311885     23.6682631579
          6.379      0.1152546262     23.8801578947
          6.398     -0.0832468512     24.0873684211
          6.416     -0.3177091769     24.2887894737
          6.435     -0.1697650625     24.4958421053
          6.454     -0.1821764229     24.7037368421
          6.472     -0.0164990178     24.9178421053
          6.491      0.0227282499     25.1343684211
          6.510     -0.0130527306     25.3510526316
          6.528     -0.1457091410     25.5649473684
          6.547     -0.3813203661     25.7728947368
          6.565     -0.2128444199     25.9872105263
          6.584     -0.4190645392     26.1962631579
          6.603     -0.4182776344     26.4050526316
          6.621     -0.3024151096     26.6167894737
          6.640     -0.3403442148     26.8267894737
          6.659     -0.4135895705     27.0340000000
          6.677     -0.4433004165     27.2397368421
          6.696     -0.3789764299     27.4467894737
          6.714     -0.3136536096     27.6551578947
          6.733     -0.0316357150     27.8711578947
          6.752     -0.1799400504     28.0821578947
          6.770      0.0885628929     28.3002631579
          6.789      0.0403300126     28.5162631579
          6.808      0.2274004839     28.7368947368
          6.826      0.0058222032     28.9504736842
          6.845      0.2923864271     29.1714210526
          6.863      0.1964821905     29.3888947368
          6.882      0.0524720889     29.6015789474
          6.901      0.0246250800     29.8127368421
          6.919     -0.0185983909     30.0219473684
          6.938      0.0378645334     30.2319473684
          6.957      0.2810539135     30.4477894737
          6.975      0.2666945486     30.6624210526
          6.994      0.3876432018     30.8794736842
          7.012      0.5242388223     31.0993157895
          7.031      0.4822110258     31.3171578947
          7.050      0.4438966698     31.5331052632
          7.068      0.5119720494     31.7499473684
          7.087      0.2288379496     31.9585263158
          7.106      0.5640229110     32.1748947368
          7.124      0.5078604533     32.3888947368
          7.143      0.2404169783     32.5951578947
          7.161      0.4356837273     32.8054736842
          7.180      0.4726028174     33.0157894737
          7.199      0.4006145515     33.2233684211
          7.217      0.3257807047     33.4281578947
          7.236      0.5668227968     33.6379473684
          7.255      0.3353977831     33.8411052632
          7.273      0.4308072747     34.0456315789
          7.292      0.3093157728     34.2462631579
          7.310      0.1115054996     34.4412105263
          7.329      0.2193574120     34.6377894737
          7.348      0.1369767045     34.8314736842
          7.366     -0.1218649443     35.0181578947
          7.385     -0.2346223704     35.2013157895
          7.404     -0.2870892412     35.3823684211
          7.422     -0.3975853310     35.5600000000
          7.441     -0.2659246633     35.7397368421
          7.459     -0.1108851113     35.9220526316
          7.478     -0.2451858216     36.1004210526
          7.497     -0.3385389234     36.2757894737
          7.515     -0.1722576982     36.4538947368
          7.534     -0.2441599143     36.6294736842
          7.553     -0.0859560660     36.8075263158
          7.571     -0.1944177613     36.9822631579
          7.590     -0.1338528571     37.1573157895
          7.608     -0.0345968326     37.3334736842
          7.627      0.1721163400     37.5129473684
          7.646     -0.2403163315     37.6827894737
          7.664     -0.2584338930     37.8512631579
          7.683     -0.1863774055     38.0202105263
          7.702      0.0690738937     38.1933157895
          7.720     -0.0374704140     38.3632105263
          7.739      0.0896716544     38.5345789474
          7.757      0.1794214946     38.7066315789
          7.776      0.3625640637     38.8811578947
          7.795      0.7148670833     39.0613684211
          7.813      0.6029782506     39.2382105263
          7.832      0.2545844659     39.4072105263
          7.851      0.5832780142     39.5812631579
          7.869      0.8959355584     39.7599473684
          7.888      0.9109055271     39.9376315789
          7.906      1.2104040168     40.1195263158
          7.925      1.2352305140     40.3005263158
          7.944      1.2433950318     40.4803157895
          7.962      1.2196569346     40.6583157895
          7.981      1.4729844123     40.8394210526
          8.000      1.2412046689     41.0150526316
          8.018      1.0325482320     41.1856842105
          8.037      0.9367568798     41.3533157895
          8.055      0.5137450437     41.5124210526
          8.074      0.5148777704     41.6702631579
          8.093     -0.1041640754     41.8165263158
          8.111      0.0737323596     41.9645263158
          8.130     -0.0772395986     42.1088421053
          8.149     -0.2539042454     42.2491052632
          8.167     -0.9593675584     42.3769473684
          8.186     -1.1387093484     42.5008947368
          8.204     -1.1391782219     42.6237894737
          8.223     -1.1767720866     42.7450526316
          8.242     -1.0247372131     42.8675789474
          8.260     -0.9281377397     42.9904736842
          8.279     -1.2884093403     43.1068947368
          8.298     -1.1916743647     43.2236842105
          8.316     -1.1464385215     43.3400526316
          8.335     -1.2168453257     43.4543157895
          8.353     -0.8879868223     43.5721578947
          8.372     -1.3012989331     43.6830526316
          8.391     -1.3709502255     43.7918947368
          8.409     -1.1877937311     43.9021578947
          8.428     -1.0111004013     44.0136842105
          8.447     -1.1333872299     44.1224210526
          8.465     -0.5860890881     44.2372105263
          8.484     -0.9846698764     44.3455789474
          8.502     -0.8304219259     44.4547368421
          8.521     -1.0130234364     44.5603684211
          8.540     -0.5411254403     44.6706842105
          8.558     -0.4023349465     44.7814210526
          8.577     -0.3328548543     44.8916842105
          8.596      0.0522479601     45.0052105263
          8.614     -0.0785705356     45.1157894737
          8.633     -0.2081502382     45.2234736842
          8.651      0.0461518214     45.3326842105
          8.670      0.3323341465     45.4436842105
          8.689      0.4997701143     45.5550526316
          8.707      1.1899520846     45.6724210526
          8.726      1.2945698064     45.7892631579
          8.745      1.0142090084     45.9014736842
          8.763      1.1613304077     46.0135789474
          8.782      1.4843621909     46.1273157895
          8.800      1.7982859126     46.2424736842
          8.819      1.8463263975     46.3563157895
          8.838      1.9511729658     46.4693684211
          8.856      2.6527541130     46.5872631579
          8.875      2.6765331766     46.7034210526
          8.894      2.5067010020     46.8160526316
          8.912      1.8685958255     46.9210000000
          8.931      1.9404675290     47.0247368421
          8.949      1.0782568539     47.1191578947
          8.968      1.0204946304     47.2113684211
          8.987      0.6883744108     47.2991052632
          9.005      0.6086108323     47.3845263158
          9.024      0.3607348454     47.4663157895
          9.043      0.4682257134     47.5473157895
          9.061      0.2838608243     47.6252631579
          9.080     -0.1419547067     47.6984210526
          9.098     -0.3912872146     47.7682105263
          9.117     -0.5849426212     47.8351052632
          9.136     -0.8634774492     47.8985789474
          9.154     -1.2959665041     47.9576842105
          9.173     -2.2796363319     48.0089473684
          9.192     -2.2857363843     48.0589473684
          9.210     -2.5112254765     48.1063157895
          9.229     -2.2606089035     48.1540000000
          9.247     -2.1823265171     48.2008947368
          9.266     -3.0407954042     48.2416315789
          9.285     -2.3503382051     48.2850526316
          9.303     -2.0566696744     48.3287894737
